,id_vendedor,dias_atividade,datas_distintas_de_venda,%_de_atividade,vendas_por_dia_de_atividade,avaliacao_media,qtd_pedidos,qtd_produtos,media_produtos_por_pedido,receita_total,media_valor_pedido_sem_frete,media_valor_pedido_com_frete,media_valor_frete,prop_pedidos_atrasados,dias_sem_vender,tempo_de_postagem
62,c60b801f2d52c7f7f91de00870882a75,207,33,0.16,1.18,3.9,39,39,1.0,11297,289.67,307.59,17.92,0.21,13,1
63,"""30c7f28fd3a5897b2c82d152bb760c17""",73,5,0.07,1.0,2.0,5,5,1.0,1160,232.0,274.2,42.2,0.6,277,-2
64,"""669ae81880e08f269a64487cfb287169""",340,65,0.19,1.18,3.76,77,90,1.17,5860,76.1,97.39,21.29,0.06,24,4
65,"""04fdea0c111866e6cf812f1570d6b5bd""",111,8,0.07,1.0,3.0,8,8,1.0,865,108.12,129.75,21.62,0.12,214,0
66,"""5a4236931428800e9d9cc04af0987118""",1,1,1.0,1.0,2.5,1,3,3.0,45,45.0,90.0,45.0,0.0,48,5
67,"""651530bf5c607240ccdd89a30c9c9712""",1,1,1.0,1.0,4.0,1,1,1.0,200,200.0,225.0,25.0,0.0,25,5
68,"""7040e82f899a04d1b434b795a43b4617""",350,130,0.37,1.6,3.96,208,223,1.07,9236,44.4,59.34,14.93,0.09,6,3
69,"""066a6914e1ebf3ea95a216c73a986b91""",315,28,0.09,1.04,4.86,29,33,1.14,3051,105.21,132.69,27.48,0.03,24,3
70,"""2d34636518ba88f5349b732fcf8ba2e4""",1,1,1.0,1.0,2.5,1,1,1.0,150,150.0,169.0,19.0,0.0,125,6
71,"""044668ccd5316b12a7cf0d54a156e3e9""",13,3,0.23,1.0,5.0,3,4,1.33,138,46.0,63.33,17.33,0.0,14,6
72,"""4a3ca9315b744ce9f8e9374361493884""",359,334,0.93,3.42,3.69,1142,1262,1.11,126273,110.57,131.67,21.09,0.15,7,3
73,c3cfdc648177fdbbbb35635a37472c53,359,122,0.34,1.25,4.33,152,167,1.1,24662,162.25,184.7,22.45,0.02,7,5
74,"""0691148aee60ca47977c187804f935ae""",277,43,0.16,1.09,4.29,47,54,1.15,5909,125.72,158.64,32.91,0.04,7,4
75,"""55f7a3319d80f7fdf078b8f03e6725fe""",52,17,0.33,1.29,3.17,22,22,1.0,3003,136.5,154.82,18.32,0.09,12,2
76,"""2c3d56f92f360fb89d849b84e8f50eae""",168,7,0.04,1.0,2.25,7,7,1.0,428,61.14,77.0,15.86,0.29,164,5
77,"""1976a05ecf2996d6ffb7b5430e635fe7""",6,2,0.33,1.0,5.0,2,3,1.5,679,339.5,438.5,99.0,0.0,354,5
78,"""5dc203c7b84a0e71e878a179de05fb9a""",70,5,0.07,1.0,5.0,5,5,1.0,422,84.4,109.8,25.4,0.0,27,4
79,c004e5ea15737026cecaee0447e00b75,1,1,1.0,1.0,2.5,1,1,1.0,2350,2350.0,2455.0,105.0,1.0,24,-18
80,"""9ef932e837d8b7f392c0bfee9d359dc2""",1,1,1.0,1.0,3.0,1,1,1.0,60,60.0,80.0,20.0,1.0,287,3
81,"""377bc18334c78dd2f1535ef22a3ad225""",1,1,1.0,1.0,5.0,1,1,1.0,136,136.0,224.0,88.0,0.0,16,1
82,fd386aa7bed2af3c7035c65506c9b4a3,187,54,0.29,1.28,4.41,69,76,1.1,2306,33.42,47.88,14.46,0.11,6,2
83,"""8c16d1f32a54d92897cc437244442e1b""",341,61,0.18,1.26,4.64,77,82,1.06,4250,55.19,74.79,19.6,0.0,10,4
84,b83cedfb587e7911540e3f576d6917ce,254,13,0.05,1.08,4.5,14,14,1.0,1318,94.14,106.43,12.29,0.14,112,3
85,adbe70ab2c97442046d393988c8d1d27,36,5,0.14,1.0,5.0,5,5,1.0,290,58.0,70.8,12.8,0.0,326,4
86,b3b17aab11f273023a5f22ca52e1eb70,136,7,0.05,1.0,5.0,7,13,1.86,6850,978.57,1046.43,67.86,0.15,86,4
87,c0aff2da32c17759d30b22fb0af6649d,73,4,0.05,1.0,3.67,4,5,1.25,189,47.25,67.75,20.5,0.0,12,4
88,f19516b9ff26bfeb091b30108db4ddbd,52,3,0.06,1.0,3.0,3,3,1.0,163,54.33,73.33,19.0,0.0,293,2
89,"""05e107217c7266362fd44b75b2cd4cc4""",56,5,0.09,1.0,5.0,5,8,1.6,194,38.8,54.8,16.0,0.5,11,2
90,"""35857757f553273b1056c1cabdace7fb""",179,3,0.02,1.0,1.0,3,3,1.0,225,75.0,96.0,21.0,0.67,159,2
91,"""3a1a1fec38dd360f15fc912e821e169d""",190,15,0.08,1.0,4.57,15,15,1.0,2007,133.8,158.67,24.87,0.27,121,2
92,"""04843805947f0fc584fc1969b6e50fe7""",1,1,1.0,1.0,2.5,1,2,2.0,1400,1400.0,1474.0,74.0,1.0,29,-5
93,"""8fe8786ee000001ab51d030dfd4a7bf1""",215,5,0.02,1.0,4.0,5,5,1.0,2255,451.0,491.2,40.2,0.0,73,2
94,f2336e113377dd21c744d9c4fc8293a9,3,2,0.67,1.0,2.5,2,2,1.0,1304,652.0,699.0,47.0,0.0,353,2
95,"""9da15f4a4ea758d9eeb49000dbe57e22""",1,1,1.0,1.0,2.5,1,1,1.0,197,197.0,235.0,38.0,1.0,33,0
96,"""3296662b1331dea51e744505065ae889""",1,1,1.0,1.0,5.0,1,1,1.0,518,518.0,546.0,28.0,0.0,7,2
97,"""4170f6a9367e6b5d6401d03ce6d54569""",58,4,0.07,1.0,3.0,4,5,1.25,569,142.25,165.5,23.25,0.2,257,-5
98,c4d51195486dc781531876a7d00453d8,67,14,0.21,1.21,4.0,17,17,1.0,11471,674.76,708.12,33.35,0.29,90,4
99,"""53d00c40e32aeb924a84ce72b1af869d""",211,12,0.06,1.42,4.57,17,17,1.0,2167,127.47,145.0,17.53,0.24,30,2
100,"""4e6015589b781adaa5ce7f1892d06bb1""",105,3,0.03,1.0,4.0,3,3,1.0,684,228.0,246.67,18.67,0.0,222,3
101,c72de06d72748d1a0dfb2125be43ba63,101,19,0.19,1.11,4.73,21,22,1.05,17522,834.38,891.95,57.57,0.0,16,3
102,"""26af45f5dfd967225a832838aa4e24a3""",226,10,0.04,1.0,4.67,10,11,1.1,574,57.4,77.3,19.9,0.0,10,4
103,"""48e954b2da4f6a750c844173b347ed40""",29,2,0.07,1.0,2.5,2,6,3.0,399,199.5,278.5,79.0,0.0,119,3
104,"""8cf21434553b02cbd37c0bbd07e041b0""",1,1,1.0,1.0,2.5,1,1,1.0,50,50.0,73.0,23.0,0.0,283,3
105,"""00d8b143d12632bad99c0ad66ad52825""",1,1,1.0,1.0,2.5,1,1,1.0,86,86.0,137.0,51.0,0.0,166,4
106,"""02b72cdeb9cfcc429f1af6f4e3f3b737""",29,4,0.14,1.0,2.5,4,4,1.0,523,130.75,187.5,56.75,0.0,12,3
107,b6f52e346160519c24a23af05410ad32,1,1,1.0,1.0,4.0,1,1,1.0,130,130.0,143.0,13.0,0.0,130,6
108,"""7ad41305e96a6cab8294cd65891e9a86""",9,2,0.22,1.0,5.0,2,2,1.0,180,90.0,118.5,28.5,0.0,82,4
109,"""85e7c62c1d6ea078c3897424f867a7c8""",24,2,0.08,1.0,4.5,2,2,1.0,60,30.0,44.0,14.0,0.0,227,6
110,f9eedec3129e8cc6b6429c42d0808c5b,3,2,0.67,1.0,2.5,2,2,1.0,790,395.0,417.0,22.0,0.0,39,5
111,"""5de1c80811ce7007f62f00d971236c09""",26,2,0.08,1.0,5.0,2,2,1.0,77,38.5,54.0,15.5,0.0,35,2
112,aec99834ab5d38ead22766ada8497e87,1,1,1.0,1.0,5.0,1,1,1.0,459,459.0,477.0,18.0,0.0,45,3
113,"""8e6cc767478edae941d9bd9eb778d77a""",281,20,0.07,1.45,3.56,29,31,1.07,1734,59.79,84.79,25.0,0.16,82,0
114,"""897060da8b9a21f655304d50fd935913""",285,130,0.46,1.7,3.46,221,306,1.38,14457,65.42,87.77,22.35,0.14,81,4
115,"""218f991754f360af9c2daa5e0b8e990c""",246,13,0.05,1.08,4.0,14,17,1.21,3556,254.0,272.93,18.93,0.12,14,1
116,"""160851d3ece7aa1a510f8d1a4bb8a8af""",24,2,0.08,1.0,5.0,2,2,1.0,102,51.0,71.0,20.0,0.0,12,5
117,"""578fa3a9cb6b6dceab39231ad59cdaca""",228,3,0.01,1.0,5.0,3,3,1.0,150,50.0,62.33,12.33,0.33,125,2
118,dde698c6d0bd24834c586e5111c2bba7,1,1,1.0,1.0,5.0,1,1,1.0,156,156.0,175.0,19.0,0.0,34,6
119,"""72c5da29406b4234927b81855e7b64f6""",141,28,0.2,1.11,4.0,31,31,1.0,11799,380.61,408.13,27.52,0.03,8,4
120,f63d8f293af3a6454377546bd9dd19ff,151,8,0.05,1.0,2.09,8,16,2.0,1110,138.75,175.0,36.25,0.38,195,3
121,"""8f580d36c1e9d6fbce95283403c7d447""",242,8,0.03,1.0,4.8,8,8,1.0,4815,601.88,624.38,22.5,0.12,18,4
122,"""2ff6b7bff164ef05590a52734e1296da""",192,6,0.03,1.17,4.5,7,7,1.0,1804,257.71,279.43,21.71,0.0,115,4
123,"""33dd941c27854f7625b968cc6195a552""",68,5,0.07,1.0,5.0,5,5,1.0,6790,1358.0,1434.0,76.0,0.0,31,3
124,"""404e1ba01358af4cd63f679b2c4d1fa1""",346,7,0.02,1.0,5.0,7,11,1.57,345,49.29,72.86,23.57,0.0,18,2
125,"""6d22a1fcebb6dd08c9cd90b92a93e8d0""",137,11,0.08,1.0,5.0,11,12,1.09,692,62.91,81.82,18.91,0.0,220,2
126,"""2fdde51ad3e12f297da656d4fbd5d0b5""",15,2,0.13,1.0,4.0,2,2,1.0,2980,1490.0,1605.0,115.0,0.0,321,10
127,"""61b18775be84fb700a6b2d0ba097bf66""",128,4,0.03,1.0,2.5,4,5,1.25,335,83.75,109.0,25.25,0.0,13,2
128,"""8e4f041ff58e7845456d3482524014b3""",26,2,0.08,1.0,5.0,2,2,1.0,134,67.0,91.0,24.0,0.5,184,3
129,"""5d9f3746e112e696f98ea22c56b3e912""",1,1,1.0,1.0,5.0,1,1,1.0,1323,1323.0,1371.0,48.0,0.0,41,5
130,"""5a32c398a06c345440bf2a683b017ad3""",1,1,1.0,1.0,5.0,1,1,1.0,35,35.0,50.0,15.0,0.0,172,1
131,"""1464afc72f696af775557a821c2e253f""",338,21,0.06,1.1,4.88,23,23,1.0,867,37.7,52.04,14.35,0.04,14,4
132,d598f929fc44e1e38678e7f47250ec04,1,1,1.0,1.0,2.5,1,1,1.0,70,70.0,107.0,37.0,0.0,73,1
133,"""53088c75f948b48a7ece173ac17f0c12""",78,3,0.04,1.0,5.0,3,3,1.0,262,87.33,105.67,18.33,0.0,27,2
134,"""4cc4fd4fdd406a85bbdc1f824b731bd7""",1,1,1.0,1.0,2.5,1,2,2.0,540,540.0,572.0,32.0,0.0,189,1
135,ae45ad30c2d2e5913094769690a239d2,1,1,1.0,1.0,2.5,1,2,2.0,252,252.0,284.0,32.0,0.0,269,2
136,"""47f55702f598c7c6cc8458b0fbc1c49a""",1,1,1.0,1.0,5.0,1,1,1.0,75,75.0,95.0,20.0,0.0,353,0
137,"""004c9cd9d87a3c30c522c48c4fc07416""",243,64,0.26,1.19,4.11,76,78,1.03,8640,113.68,136.68,23.0,0.13,121,5
138,"""0432ead42b6c8a0bdf68154add917fdf""",328,36,0.11,1.06,4.35,38,38,1.0,3286,86.47,100.97,14.5,0.03,37,3
139,b494891378bd8f4560abe576c52deacd,55,15,0.27,1.27,4.83,19,21,1.11,2841,149.53,165.05,15.53,0.1,13,2
140,eba88037e1dca898cd02881f67ced679,83,4,0.05,1.0,2.5,4,4,1.0,494,123.5,140.25,16.75,0.25,177,5
141,"""4b0fdb526525f9890eb145bf1534640e""",179,16,0.09,1.12,4.25,18,20,1.11,2421,134.5,164.22,29.72,0.0,12,2
142,"""4049512728d969bec69f84088b012416""",104,6,0.06,1.0,5.0,6,7,1.17,328,54.67,78.17,23.5,0.0,214,5
143,bb2afe2061d53c6968aa0cffa233a8ec,75,5,0.07,1.0,4.75,5,6,1.2,550,110.0,129.0,19.0,0.0,43,4
144,ede0c03645598cdfc63ca8237acbe73d,92,30,0.33,1.43,4.4,43,47,1.09,2352,54.7,71.23,16.53,0.34,103,2
145,b8a0adc91af209270c2c725168eb00fd,74,6,0.08,1.0,2.5,6,6,1.0,282,47.0,65.0,18.0,0.0,67,2
146,"""0fe2d9733ed841eb064503920015a8c0""",57,3,0.05,1.0,4.0,3,3,1.0,390,130.0,166.0,36.0,0.0,56,4
147,"""2a7c6c0b0d5efde2bf75ec1e1cec2d41""",26,3,0.12,1.0,3.0,3,3,1.0,148,49.33,64.0,14.67,0.0,266,2
148,"""6f1a1263039c76e68f40a8e536b1da6a""",120,2,0.02,1.0,2.5,2,5,2.5,179,89.5,126.5,37.0,0.2,231,-3
149,"""8d79c8a04e42d722a75097ce5cbcf2ef""",174,3,0.02,1.0,5.0,3,3,1.0,328,109.33,128.0,18.67,0.0,172,1
150,d63f306de130e0391d38a792541723b8,1,1,1.0,1.0,2.5,1,1,1.0,49,49.0,57.0,8.0,0.0,14,2
151,"""2c54051840f19eca309a5423cf22df36""",122,2,0.02,1.0,5.0,2,2,1.0,23,11.5,25.5,14.0,0.0,152,0
152,"""5db42a6cd9bf1bf0d3aab9582767f168""",1,1,1.0,1.0,2.5,1,1,1.0,200,200.0,219.0,19.0,0.0,121,2
153,"""63704069d9bd3a75c1cf59babe56004a""",1,1,1.0,1.0,2.5,1,1,1.0,59,59.0,66.0,7.0,1.0,86,-2
154,"""365e4bce19bda0082c3d15d83fdb8bcd""",159,6,0.04,1.0,4.67,6,7,1.17,797,132.83,149.33,16.5,0.0,66,3
155,d6cd01c59123df02fc226eadbadb5f89,1,1,1.0,1.0,5.0,1,1,1.0,70,70.0,86.0,16.0,0.0,235,-5
156,"""7816cd9c5b1238e320545f5bf7eb80e8""",1,1,1.0,1.0,4.0,1,1,1.0,489,489.0,512.0,23.0,0.0,102,5
157,c826c40d7b19f62a09e2d7c5e7295ee2,357,153,0.43,2.25,4.15,345,364,1.06,44591,129.25,145.13,15.88,0.09,7,3
158,"""579891617139df7d8671d373f0669622""",247,5,0.02,1.0,5.0,5,5,1.0,186,37.2,53.2,16.0,0.4,60,-2
159,"""3d39fbf22a665714baf62fae36029e23""",1,1,1.0,1.0,5.0,1,1,1.0,225,225.0,239.0,14.0,0.0,282,3
160,f61c63d13f7cd800549d5acdd390ae72,341,25,0.07,1.04,4.1,26,26,1.0,3074,118.23,134.81,16.58,0.08,14,4
161,"""6aa3928696eab49a19a466e665a649fd""",161,18,0.11,1.0,4.3,18,22,1.22,2075,115.28,133.72,18.44,0.05,17,3
162,"""5ee7fd217d08dfe5d3e2f51f96a12c9a""",308,8,0.03,1.0,4.67,8,8,1.0,1017,127.12,156.38,29.25,0.25,13,3
163,"""93b9a99027bd8bd6af682aff18dd19bf""",271,12,0.04,1.0,3.6,12,12,1.0,1378,114.83,142.0,27.17,0.0,29,10
164,"""48436dade18ac8b2bce089ec2a041202""",348,44,0.13,1.3,4.46,57,59,1.04,5282,92.67,113.51,20.84,0.12,16,0
165,efcd8d2104f1a05d028af7bad20d974b,350,32,0.09,1.06,4.15,34,37,1.09,1760,51.76,69.91,18.15,0.0,11,4
166,"""4c8545742faaf58fafd5fd14d25d75cf""",66,4,0.06,1.0,2.5,4,4,1.0,3020,755.0,804.0,49.0,0.0,107,4
167,d8bf0fc082fd4a77fc2e5679b6c00133,1,1,1.0,1.0,5.0,1,1,1.0,140,140.0,149.0,9.0,0.0,45,6
168,"""229c3efbfb0ea2058de4ccdfbc3d784a""",345,46,0.13,1.04,3.88,48,59,1.23,7865,163.85,185.1,21.25,0.05,17,4
169,ce3ad9de960102d0677a81f5d0bb7b2d,1,1,1.0,1.0,2.5,1,1,1.0,158,158.0,174.0,16.0,0.0,35,3
170,bbad7e518d7af88a0897397ffdca1979,331,55,0.17,1.04,3.11,57,73,1.28,3795,66.58,87.18,20.6,0.26,28,0
171,"""1a8e2d9c38b84a9702ac7922924b0573""",1,1,1.0,1.0,2.5,1,1,1.0,80,80.0,97.0,17.0,0.0,209,6
172,a49928bcdf77c55c6d6e05e09a9b4ca5,265,49,0.18,1.57,3.03,77,84,1.09,7007,91.0,109.19,18.19,0.3,99,-2
173,"""41b39e28db005d9731d9d485a83b4c38""",350,68,0.19,1.16,4.2,79,96,1.22,6258,79.22,97.9,18.68,0.05,14,10
174,d20b021d3efdf267a402c402a48ea64b,317,37,0.12,1.11,3.46,41,47,1.15,1783,43.49,60.17,16.68,0.36,35,0
175,"""9803a40e82e45418ab7fb84091af5231""",95,11,0.12,1.0,4.0,11,18,1.64,4281,389.18,435.73,46.55,0.0,13,2
176,"""984c273121e743dd14767befe6cb17f5""",1,1,1.0,1.0,2.5,1,1,1.0,260,260.0,281.0,21.0,1.0,282,3
177,"""4d232b78ab7ef10393dc3807d827bc0d""",26,5,0.19,1.0,4.33,5,5,1.0,1475,295.0,338.0,43.0,0.0,17,3
178,"""2063dd1b9f568df1c16741ea7d3e6adb""",64,2,0.03,1.0,5.0,2,2,1.0,598,299.0,316.5,17.5,0.0,292,19
179,"""39f776d2974049026ff531fc42ef2a3e""",103,3,0.03,1.0,4.0,3,4,1.33,1085,361.67,391.67,30.0,0.0,131,2
180,"""4869f7a5dfa277a7dca6462dcf3b52b2""",356,299,0.84,3.39,4.12,1013,1035,1.02,201620,199.03,217.07,18.04,0.12,10,3
181,"""3968920b9aa752ab98f7d5888c9252f2""",95,8,0.08,1.0,5.0,8,10,1.25,525,65.62,85.38,19.75,0.1,28,2
182,"""7e26c750b4cb9f6766f58265ff9ebe95""",40,3,0.08,1.0,2.5,3,3,1.0,149,49.67,62.67,13.0,0.0,325,3
183,"""5563732abe64c3036cb97ad924128dd1""",1,1,1.0,1.0,5.0,1,2,2.0,340,340.0,362.0,22.0,0.0,257,0
184,"""0df3984f9dfb3d49ac6366acbd3bbb85""",286,49,0.17,1.27,4.26,62,64,1.03,6761,109.05,126.65,17.6,0.02,76,3
185,"""1b65c144b17e607c0f37f10bb7dfec8d""",67,4,0.06,1.25,4.0,5,5,1.0,1110,222.0,251.2,29.2,0.0,66,4
